group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,i128,31,,,984500.0,ns,143166
benchmark,i128,31,,,1968600.0,ns,286332
benchmark,i128,31,,,2952800.0,ns,429498
benchmark,i128,31,,,3937100.0,ns,572664
benchmark,i128,31,,,4997700.0,ns,715830
benchmark,i128,31,,,5905600.0,ns,858996
benchmark,i128,31,,,6973900.0,ns,1002162
benchmark,i128,31,,,7874100.0,ns,1145328
benchmark,i128,31,,,8937700.0,ns,1288494
benchmark,i128,31,,,9842700.0,ns,1431660
benchmark,i128,31,,,10897700.0,ns,1574826
benchmark,i128,31,,,11906800.0,ns,1717992
benchmark,i128,31,,,12871800.0,ns,1861158
benchmark,i128,31,,,13830600.0,ns,2004324
benchmark,i128,31,,,14792100.0,ns,2147490
benchmark,i128,31,,,15817800.0,ns,2290656
benchmark,i128,31,,,16899000.0,ns,2433822
benchmark,i128,31,,,17797000.0,ns,2576988
benchmark,i128,31,,,18787200.0,ns,2720154
benchmark,i128,31,,,19756800.0,ns,2863320
benchmark,i128,31,,,20741300.0,ns,3006486
benchmark,i128,31,,,21791600.0,ns,3149652
benchmark,i128,31,,,22692000.0,ns,3292818
benchmark,i128,31,,,23758800.0,ns,3435984
benchmark,i128,31,,,24670100.0,ns,3579150
benchmark,i128,31,,,25743900.0,ns,3722316
benchmark,i128,31,,,26719000.0,ns,3865482
benchmark,i128,31,,,27700500.0,ns,4008648
benchmark,i128,31,,,28637900.0,ns,4151814
benchmark,i128,31,,,29693700.0,ns,4294980
benchmark,i128,31,,,30628300.0,ns,4438146
benchmark,i128,31,,,31615200.0,ns,4581312
benchmark,i128,31,,,32606400.0,ns,4724478
benchmark,i128,31,,,33720900.0,ns,4867644
benchmark,i128,31,,,34914900.0,ns,5010810
benchmark,i128,31,,,35574300.0,ns,5153976
benchmark,i128,31,,,36570100.0,ns,5297142
benchmark,i128,31,,,37642900.0,ns,5440308
benchmark,i128,31,,,38524800.0,ns,5583474
benchmark,i128,31,,,39569200.0,ns,5726640
benchmark,i128,31,,,40525000.0,ns,5869806
benchmark,i128,31,,,41560400.0,ns,6012972
benchmark,i128,31,,,42532500.0,ns,6156138
benchmark,i128,31,,,43517400.0,ns,6299304
benchmark,i128,31,,,44450700.0,ns,6442470
benchmark,i128,31,,,45487100.0,ns,6585636
benchmark,i128,31,,,46489300.0,ns,6728802
benchmark,i128,31,,,47465900.0,ns,6871968
benchmark,i128,31,,,48440600.0,ns,7015134
benchmark,i128,31,,,49449600.0,ns,7158300
benchmark,i128,31,,,50386000.0,ns,7301466
benchmark,i128,31,,,51391900.0,ns,7444632
benchmark,i128,31,,,52369300.0,ns,7587798
benchmark,i128,31,,,53503600.0,ns,7730964
benchmark,i128,31,,,54371100.0,ns,7874130
benchmark,i128,31,,,55408200.0,ns,8017296
benchmark,i128,31,,,56630300.0,ns,8160462
benchmark,i128,31,,,57274700.0,ns,8303628
benchmark,i128,31,,,58311000.0,ns,8446794
benchmark,i128,31,,,59311300.0,ns,8589960
benchmark,i128,31,,,60306300.0,ns,8733126
benchmark,i128,31,,,61257600.0,ns,8876292
benchmark,i128,31,,,62294700.0,ns,9019458
benchmark,i128,31,,,63357000.0,ns,9162624
benchmark,i128,31,,,64268500.0,ns,9305790
benchmark,i128,31,,,65231400.0,ns,9448956
benchmark,i128,31,,,66304800.0,ns,9592122
benchmark,i128,31,,,67213900.0,ns,9735288
benchmark,i128,31,,,68206600.0,ns,9878454
benchmark,i128,31,,,69299300.0,ns,10021620
benchmark,i128,31,,,70166600.0,ns,10164786
benchmark,i128,31,,,71218800.0,ns,10307952
benchmark,i128,31,,,72566800.0,ns,10451118
benchmark,i128,31,,,73210500.0,ns,10594284
benchmark,i128,31,,,74340200.0,ns,10737450
benchmark,i128,31,,,75173000.0,ns,10880616
benchmark,i128,31,,,76131500.0,ns,11023782
benchmark,i128,31,,,77051500.0,ns,11166948
benchmark,i128,31,,,78140100.0,ns,11310114
benchmark,i128,31,,,79337500.0,ns,11453280
benchmark,i128,31,,,80074000.0,ns,11596446
benchmark,i128,31,,,81081000.0,ns,11739612
benchmark,i128,31,,,82089500.0,ns,11882778
benchmark,i128,31,,,83043200.0,ns,12025944
benchmark,i128,31,,,84136800.0,ns,12169110
benchmark,i128,31,,,85349200.0,ns,12312276
benchmark,i128,31,,,86028600.0,ns,12455442
benchmark,i128,31,,,86989900.0,ns,12598608
benchmark,i128,31,,,88044700.0,ns,12741774
benchmark,i128,31,,,88998700.0,ns,12884940
benchmark,i128,31,,,89938600.0,ns,13028106
benchmark,i128,31,,,91008800.0,ns,13171272
benchmark,i128,31,,,91968500.0,ns,13314438
benchmark,i128,31,,,92977400.0,ns,13457604
benchmark,i128,31,,,93993200.0,ns,13600770
benchmark,i128,31,,,94924100.0,ns,13743936
benchmark,i128,31,,,96265100.0,ns,13887102
benchmark,i128,31,,,96963400.0,ns,14030268
benchmark,i128,31,,,97871700.0,ns,14173434
benchmark,i128,31,,,98868100.0,ns,14316600
