group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,i64,16,,,983400.0,ns,275480
benchmark,i64,16,,,1952900.0,ns,550960
benchmark,i64,16,,,2928300.0,ns,826440
benchmark,i64,16,,,3904300.0,ns,1101920
benchmark,i64,16,,,4878400.0,ns,1377400
benchmark,i64,16,,,5981300.0,ns,1652880
benchmark,i64,16,,,6963500.0,ns,1928360
benchmark,i64,16,,,7997100.0,ns,2203840
benchmark,i64,16,,,8784700.0,ns,2479320
benchmark,i64,16,,,9945100.0,ns,2754800
benchmark,i64,16,,,10992200.0,ns,3030280
benchmark,i64,16,,,11707900.0,ns,3305760
benchmark,i64,16,,,12765900.0,ns,3581240
benchmark,i64,16,,,13899400.0,ns,3856720
benchmark,i64,16,,,14826800.0,ns,4132200
benchmark,i64,16,,,15953000.0,ns,4407680
benchmark,i64,16,,,16649100.0,ns,4683160
benchmark,i64,16,,,17642300.0,ns,4958640
benchmark,i64,16,,,18882700.0,ns,5234120
benchmark,i64,16,,,20044300.0,ns,5509600
benchmark,i64,16,,,20587100.0,ns,5785080
benchmark,i64,16,,,21642300.0,ns,6060560
benchmark,i64,16,,,23024300.0,ns,6336040
benchmark,i64,16,,,23751300.0,ns,6611520
benchmark,i64,16,,,24824200.0,ns,6887000
benchmark,i64,16,,,25533900.0,ns,7162480
benchmark,i64,16,,,26671800.0,ns,7437960
benchmark,i64,16,,,27824500.0,ns,7713440
benchmark,i64,16,,,28749900.0,ns,7988920
benchmark,i64,16,,,29415300.0,ns,8264400
benchmark,i64,16,,,30407700.0,ns,8539880
benchmark,i64,16,,,31669200.0,ns,8815360
benchmark,i64,16,,,32359400.0,ns,9090840
benchmark,i64,16,,,33620300.0,ns,9366320
benchmark,i64,16,,,34520600.0,ns,9641800
benchmark,i64,16,,,35373000.0,ns,9917280
benchmark,i64,16,,,36345500.0,ns,10192760
benchmark,i64,16,,,37228500.0,ns,10468240
benchmark,i64,16,,,38316900.0,ns,10743720
benchmark,i64,16,,,39192500.0,ns,11019200
benchmark,i64,16,,,40159900.0,ns,11294680
benchmark,i64,16,,,41305600.0,ns,11570160
benchmark,i64,16,,,42633400.0,ns,11845640
benchmark,i64,16,,,43082100.0,ns,12121120
benchmark,i64,16,,,44349300.0,ns,12396600
benchmark,i64,16,,,45144900.0,ns,12672080
benchmark,i64,16,,,46069300.0,ns,12947560
benchmark,i64,16,,,48445300.0,ns,13223040
benchmark,i64,16,,,48329500.0,ns,13498520
benchmark,i64,16,,,49288100.0,ns,13774000
benchmark,i64,16,,,50374900.0,ns,14049480
benchmark,i64,16,,,51361000.0,ns,14324960
benchmark,i64,16,,,52725600.0,ns,14600440
benchmark,i64,16,,,53576000.0,ns,14875920
benchmark,i64,16,,,53957000.0,ns,15151400
benchmark,i64,16,,,55262200.0,ns,15426880
benchmark,i64,16,,,56615000.0,ns,15702360
benchmark,i64,16,,,57089700.0,ns,15977840
benchmark,i64,16,,,58893200.0,ns,16253320
benchmark,i64,16,,,59126500.0,ns,16528800
benchmark,i64,16,,,60318900.0,ns,16804280
benchmark,i64,16,,,61294900.0,ns,17079760
benchmark,i64,16,,,62357300.0,ns,17355240
benchmark,i64,16,,,63558000.0,ns,17630720
benchmark,i64,16,,,64403600.0,ns,17906200
benchmark,i64,16,,,65451000.0,ns,18181680
benchmark,i64,16,,,65995400.0,ns,18457160
benchmark,i64,16,,,67173400.0,ns,18732640
benchmark,i64,16,,,68340300.0,ns,19008120
benchmark,i64,16,,,69169100.0,ns,19283600
benchmark,i64,16,,,69935700.0,ns,19559080
benchmark,i64,16,,,70649600.0,ns,19834560
benchmark,i64,16,,,72711200.0,ns,20110040
benchmark,i64,16,,,73494500.0,ns,20385520
benchmark,i64,16,,,74544900.0,ns,20661000
benchmark,i64,16,,,74452400.0,ns,20936480
benchmark,i64,16,,,76061300.0,ns,21211960
benchmark,i64,16,,,77575500.0,ns,21487440
benchmark,i64,16,,,78011200.0,ns,21762920
benchmark,i64,16,,,79206500.0,ns,22038400
benchmark,i64,16,,,80015700.0,ns,22313880
benchmark,i64,16,,,80444200.0,ns,22589360
benchmark,i64,16,,,82317900.0,ns,22864840
benchmark,i64,16,,,82560400.0,ns,23140320
benchmark,i64,16,,,84250400.0,ns,23415800
benchmark,i64,16,,,84785900.0,ns,23691280
benchmark,i64,16,,,85526200.0,ns,23966760
benchmark,i64,16,,,87362100.0,ns,24242240
benchmark,i64,16,,,88140300.0,ns,24517720
benchmark,i64,16,,,89358500.0,ns,24793200
benchmark,i64,16,,,89821700.0,ns,25068680
benchmark,i64,16,,,90683400.0,ns,25344160
benchmark,i64,16,,,91182700.0,ns,25619640
benchmark,i64,16,,,93450400.0,ns,25895120
benchmark,i64,16,,,94270000.0,ns,26170600
benchmark,i64,16,,,94526400.0,ns,26446080
benchmark,i64,16,,,97487300.0,ns,26721560
benchmark,i64,16,,,96836600.0,ns,26997040
benchmark,i64,16,,,97984700.0,ns,27272520
benchmark,i64,16,,,98661700.0,ns,27548000
