group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,neg i128,1,,,984300.0,ns,152390
benchmark,neg i128,1,,,1968400.0,ns,304780
benchmark,neg i128,1,,,3049500.0,ns,457170
benchmark,neg i128,1,,,3936800.0,ns,609560
benchmark,neg i128,1,,,4920900.0,ns,761950
benchmark,neg i128,1,,,5905100.0,ns,914340
benchmark,neg i128,1,,,6977600.0,ns,1066730
benchmark,neg i128,1,,,7873500.0,ns,1219120
benchmark,neg i128,1,,,8928400.0,ns,1371510
benchmark,neg i128,1,,,9912300.0,ns,1523900
benchmark,neg i128,1,,,10826100.0,ns,1676290
benchmark,neg i128,1,,,11882300.0,ns,1828680
benchmark,neg i128,1,,,12868200.0,ns,1981070
benchmark,neg i128,1,,,13846900.0,ns,2133460
benchmark,neg i128,1,,,14829100.0,ns,2285850
benchmark,neg i128,1,,,15825900.0,ns,2438240
benchmark,neg i128,1,,,16803200.0,ns,2590630
benchmark,neg i128,1,,,17784800.0,ns,2743020
benchmark,neg i128,1,,,18773700.0,ns,2895410
benchmark,neg i128,1,,,19842400.0,ns,3047800
benchmark,neg i128,1,,,20827800.0,ns,3200190
benchmark,neg i128,1,,,21731500.0,ns,3352580
benchmark,neg i128,1,,,22756200.0,ns,3504970
benchmark,neg i128,1,,,23688100.0,ns,3657360
benchmark,neg i128,1,,,24760900.0,ns,3809750
benchmark,neg i128,1,,,25649500.0,ns,3962140
benchmark,neg i128,1,,,26856800.0,ns,4114530
benchmark,neg i128,1,,,27671400.0,ns,4266920
benchmark,neg i128,1,,,28695800.0,ns,4419310
benchmark,neg i128,1,,,29669200.0,ns,4571700
benchmark,neg i128,1,,,30666300.0,ns,4724090
benchmark,neg i128,1,,,32013000.0,ns,4876480
benchmark,neg i128,1,,,32601500.0,ns,5028870
benchmark,neg i128,1,,,33601800.0,ns,5181260
benchmark,neg i128,1,,,34560800.0,ns,5333650
benchmark,neg i128,1,,,35578300.0,ns,5486040
benchmark,neg i128,1,,,36694000.0,ns,5638430
benchmark,neg i128,1,,,37526100.0,ns,5790820
benchmark,neg i128,1,,,38596000.0,ns,5943210
benchmark,neg i128,1,,,39489000.0,ns,6095600
benchmark,neg i128,1,,,40603900.0,ns,6247990
benchmark,neg i128,1,,,41485200.0,ns,6400380
benchmark,neg i128,1,,,42539700.0,ns,6552770
benchmark,neg i128,1,,,43520000.0,ns,6705160
benchmark,neg i128,1,,,44518800.0,ns,6857550
benchmark,neg i128,1,,,45486400.0,ns,7009940
benchmark,neg i128,1,,,46467400.0,ns,7162330
benchmark,neg i128,1,,,47464200.0,ns,7314720
benchmark,neg i128,1,,,48459700.0,ns,7467110
benchmark,neg i128,1,,,49389600.0,ns,7619500
benchmark,neg i128,1,,,50358500.0,ns,7771890
benchmark,neg i128,1,,,51363000.0,ns,7924280
benchmark,neg i128,1,,,52423300.0,ns,8076670
benchmark,neg i128,1,,,53347800.0,ns,8229060
benchmark,neg i128,1,,,54761700.0,ns,8381450
benchmark,neg i128,1,,,55328700.0,ns,8533840
benchmark,neg i128,1,,,56393700.0,ns,8686230
benchmark,neg i128,1,,,57304300.0,ns,8838620
benchmark,neg i128,1,,,58436300.0,ns,8991010
benchmark,neg i128,1,,,59339500.0,ns,9143400
benchmark,neg i128,1,,,60343200.0,ns,9295790
benchmark,neg i128,1,,,61311300.0,ns,9448180
benchmark,neg i128,1,,,62298200.0,ns,9600570
benchmark,neg i128,1,,,63274900.0,ns,9752960
benchmark,neg i128,1,,,64255800.0,ns,9905350
benchmark,neg i128,1,,,65259700.0,ns,10057740
benchmark,neg i128,1,,,66181300.0,ns,10210130
benchmark,neg i128,1,,,67216800.0,ns,10362520
benchmark,neg i128,1,,,68327800.0,ns,10514910
benchmark,neg i128,1,,,69125500.0,ns,10667300
benchmark,neg i128,1,,,70249400.0,ns,10819690
benchmark,neg i128,1,,,71518800.0,ns,10972080
benchmark,neg i128,1,,,72121300.0,ns,11124470
benchmark,neg i128,1,,,73226300.0,ns,11276860
benchmark,neg i128,1,,,74221900.0,ns,11429250
benchmark,neg i128,1,,,75101000.0,ns,11581640
benchmark,neg i128,1,,,76167400.0,ns,11734030
benchmark,neg i128,1,,,77150900.0,ns,11886420
benchmark,neg i128,1,,,78134800.0,ns,12038810
benchmark,neg i128,1,,,79081400.0,ns,12191200
benchmark,neg i128,1,,,80018800.0,ns,12343590
benchmark,neg i128,1,,,81011600.0,ns,12495980
benchmark,neg i128,1,,,82063700.0,ns,12648370
benchmark,neg i128,1,,,83015900.0,ns,12800760
benchmark,neg i128,1,,,84488700.0,ns,12953150
benchmark,neg i128,1,,,85061600.0,ns,13105540
benchmark,neg i128,1,,,85963300.0,ns,13257930
benchmark,neg i128,1,,,87039600.0,ns,13410320
benchmark,neg i128,1,,,87936600.0,ns,13562710
benchmark,neg i128,1,,,90074900.0,ns,13715100
benchmark,neg i128,1,,,89965500.0,ns,13867490
benchmark,neg i128,1,,,91010200.0,ns,14019880
benchmark,neg i128,1,,,91969800.0,ns,14172270
benchmark,neg i128,1,,,92908500.0,ns,14324660
benchmark,neg i128,1,,,93885000.0,ns,14477050
benchmark,neg i128,1,,,95056200.0,ns,14629440
benchmark,neg i128,1,,,95969000.0,ns,14781830
benchmark,neg i128,1,,,96839900.0,ns,14934220
benchmark,neg i128,1,,,97842900.0,ns,15086610
benchmark,neg i128,1,,,98880300.0,ns,15239000
