group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,neg i64,2,,,984700.0,ns,373107
benchmark,neg i64,2,,,1969300.0,ns,746214
benchmark,neg i64,2,,,2953800.0,ns,1119321
benchmark,neg i64,2,,,3938400.0,ns,1492428
benchmark,neg i64,2,,,4991600.0,ns,1865535
benchmark,neg i64,2,,,5907600.0,ns,2238642
benchmark,neg i64,2,,,6961800.0,ns,2611749
benchmark,neg i64,2,,,7876700.0,ns,2984856
benchmark,neg i64,2,,,8967800.0,ns,3357963
benchmark,neg i64,2,,,9845900.0,ns,3731070
benchmark,neg i64,2,,,10899400.0,ns,4104177
benchmark,neg i64,2,,,11880400.0,ns,4477284
benchmark,neg i64,2,,,12849900.0,ns,4850391
benchmark,neg i64,2,,,13784300.0,ns,5223498
benchmark,neg i64,2,,,14839600.0,ns,5596605
benchmark,neg i64,2,,,15821100.0,ns,5969712
benchmark,neg i64,2,,,16786800.0,ns,6342819
benchmark,neg i64,2,,,17855200.0,ns,6715926
benchmark,neg i64,2,,,18811300.0,ns,7089033
benchmark,neg i64,2,,,19760600.0,ns,7462140
benchmark,neg i64,2,,,20751700.0,ns,7835247
benchmark,neg i64,2,,,21797100.0,ns,8208354
benchmark,neg i64,2,,,22707000.0,ns,8581461
benchmark,neg i64,2,,,23755900.0,ns,8954568
benchmark,neg i64,2,,,24668700.0,ns,9327675
benchmark,neg i64,2,,,25725100.0,ns,9700782
benchmark,neg i64,2,,,26746700.0,ns,10073889
benchmark,neg i64,2,,,27640100.0,ns,10446996
benchmark,neg i64,2,,,28667100.0,ns,10820103
benchmark,neg i64,2,,,29731400.0,ns,11193210
benchmark,neg i64,2,,,31053900.0,ns,11566317
benchmark,neg i64,2,,,31620400.0,ns,11939424
benchmark,neg i64,2,,,32633400.0,ns,12312531
benchmark,neg i64,2,,,33613900.0,ns,12685638
benchmark,neg i64,2,,,34674800.0,ns,13058745
benchmark,neg i64,2,,,35586000.0,ns,13431852
benchmark,neg i64,2,,,36577700.0,ns,13804959
benchmark,neg i64,2,,,37631000.0,ns,14178066
benchmark,neg i64,2,,,38541300.0,ns,14551173
benchmark,neg i64,2,,,39616800.0,ns,14924280
benchmark,neg i64,2,,,40517900.0,ns,15297387
benchmark,neg i64,2,,,41714000.0,ns,15670494
benchmark,neg i64,2,,,42558200.0,ns,16043601
benchmark,neg i64,2,,,43433200.0,ns,16416708
benchmark,neg i64,2,,,44509600.0,ns,16789815
benchmark,neg i64,2,,,45490700.0,ns,17162922
benchmark,neg i64,2,,,46461900.0,ns,17536029
benchmark,neg i64,2,,,47453100.0,ns,17909136
benchmark,neg i64,2,,,48447400.0,ns,18282243
benchmark,neg i64,2,,,49410800.0,ns,18655350
benchmark,neg i64,2,,,50465000.0,ns,19028457
benchmark,neg i64,2,,,51391800.0,ns,19401564
benchmark,neg i64,2,,,52367800.0,ns,19774671
benchmark,neg i64,2,,,53425700.0,ns,20147778
benchmark,neg i64,2,,,54804500.0,ns,20520885
benchmark,neg i64,2,,,55375100.0,ns,20893992
benchmark,neg i64,2,,,56320500.0,ns,21267099
benchmark,neg i64,2,,,57363400.0,ns,21640206
benchmark,neg i64,2,,,58345300.0,ns,22013313
benchmark,neg i64,2,,,59335200.0,ns,22386420
benchmark,neg i64,2,,,60247000.0,ns,22759527
benchmark,neg i64,2,,,61394700.0,ns,23132634
benchmark,neg i64,2,,,62302700.0,ns,23505741
benchmark,neg i64,2,,,63287200.0,ns,23878848
benchmark,neg i64,2,,,64352000.0,ns,24251955
benchmark,neg i64,2,,,65295600.0,ns,24625062
benchmark,neg i64,2,,,66262200.0,ns,24998169
benchmark,neg i64,2,,,67370800.0,ns,25371276
benchmark,neg i64,2,,,68268700.0,ns,25744383
benchmark,neg i64,2,,,69170000.0,ns,26117490
benchmark,neg i64,2,,,70694500.0,ns,26490597
benchmark,neg i64,2,,,71123600.0,ns,26863704
benchmark,neg i64,2,,,72175100.0,ns,27236811
benchmark,neg i64,2,,,73095600.0,ns,27609918
benchmark,neg i64,2,,,74133300.0,ns,27983025
benchmark,neg i64,2,,,75193600.0,ns,28356132
benchmark,neg i64,2,,,76085200.0,ns,28729239
benchmark,neg i64,2,,,77135500.0,ns,29102346
benchmark,neg i64,2,,,78096000.0,ns,29475453
benchmark,neg i64,2,,,79062700.0,ns,29848560
benchmark,neg i64,2,,,80062100.0,ns,30221667
benchmark,neg i64,2,,,81116500.0,ns,30594774
benchmark,neg i64,2,,,82031500.0,ns,30967881
benchmark,neg i64,2,,,83442500.0,ns,31340988
benchmark,neg i64,2,,,84150800.0,ns,31714095
benchmark,neg i64,2,,,84999700.0,ns,32087202
benchmark,neg i64,2,,,85986000.0,ns,32460309
benchmark,neg i64,2,,,87164800.0,ns,32833416
benchmark,neg i64,2,,,87980100.0,ns,33206523
benchmark,neg i64,2,,,89096100.0,ns,33579630
benchmark,neg i64,2,,,89965200.0,ns,33952737
benchmark,neg i64,2,,,90949000.0,ns,34325844
benchmark,neg i64,2,,,91882000.0,ns,34698951
benchmark,neg i64,2,,,92920800.0,ns,35072058
benchmark,neg i64,2,,,93913600.0,ns,35445165
benchmark,neg i64,2,,,95308400.0,ns,35818272
benchmark,neg i64,2,,,96030600.0,ns,36191379
benchmark,neg i64,2,,,96910300.0,ns,36564486
benchmark,neg i64,2,,,98020300.0,ns,36937593
benchmark,neg i64,2,,,98825400.0,ns,37310700
