group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std i128,12,,,985800.0,ns,59777
benchmark,std i128,12,,,1974500.0,ns,119554
benchmark,std i128,12,,,2951500.0,ns,179331
benchmark,std i128,12,,,3935400.0,ns,239108
benchmark,std i128,12,,,4919200.0,ns,298885
benchmark,std i128,12,,,5965200.0,ns,358662
benchmark,std i128,12,,,6886900.0,ns,418439
benchmark,std i128,12,,,7956800.0,ns,478216
benchmark,std i128,12,,,8854500.0,ns,537993
benchmark,std i128,12,,,9901500.0,ns,597770
benchmark,std i128,12,,,10889400.0,ns,657547
benchmark,std i128,12,,,11955500.0,ns,717324
benchmark,std i128,12,,,12890700.0,ns,777101
benchmark,std i128,12,,,13846100.0,ns,836878
benchmark,std i128,12,,,14815900.0,ns,896655
benchmark,std i128,12,,,15805800.0,ns,956432
benchmark,std i128,12,,,16785600.0,ns,1016209
benchmark,std i128,12,,,17758600.0,ns,1075986
benchmark,std i128,12,,,18752500.0,ns,1135763
benchmark,std i128,12,,,20440700.0,ns,1195540
benchmark,std i128,12,,,20714000.0,ns,1255317
benchmark,std i128,12,,,21807200.0,ns,1315094
benchmark,std i128,12,,,22759200.0,ns,1374871
benchmark,std i128,12,,,23683400.0,ns,1434648
benchmark,std i128,12,,,24743600.0,ns,1494425
benchmark,std i128,12,,,25843600.0,ns,1554202
benchmark,std i128,12,,,26637800.0,ns,1613979
benchmark,std i128,12,,,27724200.0,ns,1673756
benchmark,std i128,12,,,28668300.0,ns,1733533
benchmark,std i128,12,,,29586300.0,ns,1793310
benchmark,std i128,12,,,30630800.0,ns,1853087
benchmark,std i128,12,,,31610700.0,ns,1912864
benchmark,std i128,12,,,32628000.0,ns,1972641
benchmark,std i128,12,,,33698700.0,ns,2032418
benchmark,std i128,12,,,34566400.0,ns,2092195
benchmark,std i128,12,,,35557100.0,ns,2151972
benchmark,std i128,12,,,36497900.0,ns,2211749
benchmark,std i128,12,,,37568400.0,ns,2271526
benchmark,std i128,12,,,38498700.0,ns,2331303
benchmark,std i128,12,,,39553200.0,ns,2391080
benchmark,std i128,12,,,40466700.0,ns,2450857
benchmark,std i128,12,,,41508300.0,ns,2510634
benchmark,std i128,12,,,42508800.0,ns,2570411
benchmark,std i128,12,,,43498200.0,ns,2630188
benchmark,std i128,12,,,44404600.0,ns,2689965
benchmark,std i128,12,,,45474900.0,ns,2749742
benchmark,std i128,12,,,46468600.0,ns,2809519
benchmark,std i128,12,,,47622200.0,ns,2869296
benchmark,std i128,12,,,48437100.0,ns,2929073
benchmark,std i128,12,,,49779000.0,ns,2988850
benchmark,std i128,12,,,50399500.0,ns,3048627
benchmark,std i128,12,,,51358800.0,ns,3108404
benchmark,std i128,12,,,52494100.0,ns,3168181
benchmark,std i128,12,,,53525300.0,ns,3227958
benchmark,std i128,12,,,54322900.0,ns,3287735
benchmark,std i128,12,,,55419100.0,ns,3347512
benchmark,std i128,12,,,56354000.0,ns,3407289
benchmark,std i128,12,,,57275900.0,ns,3467066
benchmark,std i128,12,,,58328900.0,ns,3526843
benchmark,std i128,12,,,59282700.0,ns,3586620
benchmark,std i128,12,,,60335500.0,ns,3646397
benchmark,std i128,12,,,64198700.0,ns,3706174
benchmark,std i128,12,,,63159500.0,ns,3765951
benchmark,std i128,12,,,64487700.0,ns,3825728
benchmark,std i128,12,,,64324700.0,ns,3885505
benchmark,std i128,12,,,65371400.0,ns,3945282
benchmark,std i128,12,,,66362900.0,ns,4005059
benchmark,std i128,12,,,67276900.0,ns,4064836
benchmark,std i128,12,,,68198100.0,ns,4124613
benchmark,std i128,12,,,69118000.0,ns,4184390
benchmark,std i128,12,,,70176300.0,ns,4244167
benchmark,std i128,12,,,71291600.0,ns,4303944
benchmark,std i128,12,,,72225400.0,ns,4363721
benchmark,std i128,12,,,73088200.0,ns,4423498
benchmark,std i128,12,,,74063800.0,ns,4483275
benchmark,std i128,12,,,75089200.0,ns,4543052
benchmark,std i128,12,,,76185500.0,ns,4602829
benchmark,std i128,12,,,77186000.0,ns,4662606
benchmark,std i128,12,,,79244300.0,ns,4722383
benchmark,std i128,12,,,79073000.0,ns,4782160
benchmark,std i128,12,,,80357400.0,ns,4841937
benchmark,std i128,12,,,80996500.0,ns,4901714
benchmark,std i128,12,,,81964100.0,ns,4961491
benchmark,std i128,12,,,83037300.0,ns,5021268
benchmark,std i128,12,,,83987300.0,ns,5081045
benchmark,std i128,12,,,85118900.0,ns,5140822
benchmark,std i128,12,,,85971700.0,ns,5200599
benchmark,std i128,12,,,86991800.0,ns,5260376
benchmark,std i128,12,,,87925700.0,ns,5320153
benchmark,std i128,12,,,89028800.0,ns,5379930
benchmark,std i128,12,,,89961500.0,ns,5439707
benchmark,std i128,12,,,91260700.0,ns,5499484
benchmark,std i128,12,,,91953600.0,ns,5559261
benchmark,std i128,12,,,92927800.0,ns,5619038
benchmark,std i128,12,,,93887800.0,ns,5678815
benchmark,std i128,12,,,94880000.0,ns,5738592
benchmark,std i128,12,,,95902500.0,ns,5798369
benchmark,std i128,12,,,97003900.0,ns,5858146
benchmark,std i128,12,,,97911900.0,ns,5917923
benchmark,std i128,12,,,98837700.0,ns,5977700
