group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std i128,32,,,984800.0,ns,14677
benchmark,std i128,32,,,1968100.0,ns,29354
benchmark,std i128,32,,,2950900.0,ns,44031
benchmark,std i128,32,,,3934600.0,ns,58708
benchmark,std i128,32,,,4918200.0,ns,73385
benchmark,std i128,32,,,5979900.0,ns,88062
benchmark,std i128,32,,,6885500.0,ns,102739
benchmark,std i128,32,,,7931000.0,ns,117416
benchmark,std i128,32,,,8853100.0,ns,132093
benchmark,std i128,32,,,9924400.0,ns,146770
benchmark,std i128,32,,,10883200.0,ns,161447
benchmark,std i128,32,,,11803000.0,ns,176124
benchmark,std i128,32,,,12853700.0,ns,190801
benchmark,std i128,32,,,13821800.0,ns,205478
benchmark,std i128,32,,,14817800.0,ns,220155
benchmark,std i128,32,,,15804200.0,ns,234832
benchmark,std i128,32,,,16785800.0,ns,249509
benchmark,std i128,32,,,17762600.0,ns,264186
benchmark,std i128,32,,,18773600.0,ns,278863
benchmark,std i128,32,,,19811000.0,ns,293540
benchmark,std i128,32,,,20722200.0,ns,308217
benchmark,std i128,32,,,21708800.0,ns,322894
benchmark,std i128,32,,,22769200.0,ns,337571
benchmark,std i128,32,,,23685300.0,ns,352248
benchmark,std i128,32,,,24721000.0,ns,366925
benchmark,std i128,32,,,25688400.0,ns,381602
benchmark,std i128,32,,,26630000.0,ns,396279
benchmark,std i128,32,,,27676600.0,ns,410956
benchmark,std i128,32,,,28658400.0,ns,425633
benchmark,std i128,32,,,29741000.0,ns,440310
benchmark,std i128,32,,,30664200.0,ns,454987
benchmark,std i128,32,,,31632700.0,ns,469664
benchmark,std i128,32,,,32593400.0,ns,484341
benchmark,std i128,32,,,33580400.0,ns,499018
benchmark,std i128,32,,,34553500.0,ns,513695
benchmark,std i128,32,,,35615500.0,ns,528372
benchmark,std i128,32,,,36494000.0,ns,543049
benchmark,std i128,32,,,37513600.0,ns,557726
benchmark,std i128,32,,,38529300.0,ns,572403
benchmark,std i128,32,,,39947400.0,ns,587080
benchmark,std i128,32,,,40532000.0,ns,601757
benchmark,std i128,32,,,41502500.0,ns,616434
benchmark,std i128,32,,,42443700.0,ns,631111
benchmark,std i128,32,,,43507800.0,ns,645788
benchmark,std i128,32,,,44599600.0,ns,660465
benchmark,std i128,32,,,45465700.0,ns,675142
benchmark,std i128,32,,,46452800.0,ns,689819
benchmark,std i128,32,,,47433100.0,ns,704496
benchmark,std i128,32,,,48406500.0,ns,719173
benchmark,std i128,32,,,49412500.0,ns,733850
benchmark,std i128,32,,,50364200.0,ns,748527
benchmark,std i128,32,,,51453200.0,ns,763204
benchmark,std i128,32,,,52368300.0,ns,777881
benchmark,std i128,32,,,53336400.0,ns,792558
benchmark,std i128,32,,,54351200.0,ns,807235
benchmark,std i128,32,,,55263500.0,ns,821912
benchmark,std i128,32,,,56320500.0,ns,836589
benchmark,std i128,32,,,57357200.0,ns,851266
benchmark,std i128,32,,,58266300.0,ns,865943
benchmark,std i128,32,,,59561800.0,ns,880620
benchmark,std i128,32,,,60234000.0,ns,895297
benchmark,std i128,32,,,61258100.0,ns,909974
benchmark,std i128,32,,,62247700.0,ns,924651
benchmark,std i128,32,,,63225000.0,ns,939328
benchmark,std i128,32,,,64188400.0,ns,954005
benchmark,std i128,32,,,65183800.0,ns,968682
benchmark,std i128,32,,,66170300.0,ns,983359
benchmark,std i128,32,,,67208900.0,ns,998036
benchmark,std i128,32,,,68137200.0,ns,1012713
benchmark,std i128,32,,,69198000.0,ns,1027390
benchmark,std i128,32,,,70141200.0,ns,1042067
benchmark,std i128,32,,,71195800.0,ns,1056744
benchmark,std i128,32,,,72108700.0,ns,1071421
benchmark,std i128,32,,,73134000.0,ns,1086098
benchmark,std i128,32,,,74400300.0,ns,1100775
benchmark,std i128,32,,,75035500.0,ns,1115452
benchmark,std i128,32,,,76095200.0,ns,1130129
benchmark,std i128,32,,,77136200.0,ns,1144806
benchmark,std i128,32,,,78056900.0,ns,1159483
benchmark,std i128,32,,,78995800.0,ns,1174160
benchmark,std i128,32,,,80007800.0,ns,1188837
benchmark,std i128,32,,,81051100.0,ns,1203514
benchmark,std i128,32,,,81976600.0,ns,1218191
benchmark,std i128,32,,,82965900.0,ns,1232868
benchmark,std i128,32,,,84011400.0,ns,1247545
benchmark,std i128,32,,,84957200.0,ns,1262222
benchmark,std i128,32,,,85998600.0,ns,1276899
benchmark,std i128,32,,,87190400.0,ns,1291576
benchmark,std i128,32,,,87890800.0,ns,1306253
benchmark,std i128,32,,,88892700.0,ns,1320930
benchmark,std i128,32,,,89908400.0,ns,1335607
benchmark,std i128,32,,,90873000.0,ns,1350284
benchmark,std i128,32,,,91853300.0,ns,1364961
benchmark,std i128,32,,,92861000.0,ns,1379638
benchmark,std i128,32,,,93835500.0,ns,1394315
benchmark,std i128,32,,,94843700.0,ns,1408992
benchmark,std i128,32,,,95835800.0,ns,1423669
benchmark,std i128,32,,,96831000.0,ns,1438346
benchmark,std i128,32,,,98169100.0,ns,1453023
benchmark,std i128,32,,,98762100.0,ns,1467700
