group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std neg i128,30,,,1013200.0,ns,32990
benchmark,std neg i128,30,,,1968800.0,ns,65980
benchmark,std neg i128,30,,,2948100.0,ns,98970
benchmark,std neg i128,30,,,3931100.0,ns,131960
benchmark,std neg i128,30,,,4916200.0,ns,164950
benchmark,std neg i128,30,,,5969200.0,ns,197940
benchmark,std neg i128,30,,,6886200.0,ns,230930
benchmark,std neg i128,30,,,8005600.0,ns,263920
benchmark,std neg i128,30,,,8887500.0,ns,296910
benchmark,std neg i128,30,,,10001300.0,ns,329900
benchmark,std neg i128,30,,,10933600.0,ns,362890
benchmark,std neg i128,30,,,11805400.0,ns,395880
benchmark,std neg i128,30,,,12840300.0,ns,428870
benchmark,std neg i128,30,,,13854700.0,ns,461860
benchmark,std neg i128,30,,,14810900.0,ns,494850
benchmark,std neg i128,30,,,15794100.0,ns,527840
benchmark,std neg i128,30,,,16774900.0,ns,560830
benchmark,std neg i128,30,,,17763900.0,ns,593820
benchmark,std neg i128,30,,,18754900.0,ns,626810
benchmark,std neg i128,30,,,19813100.0,ns,659800
benchmark,std neg i128,30,,,20724000.0,ns,692790
benchmark,std neg i128,30,,,21700200.0,ns,725780
benchmark,std neg i128,30,,,22757600.0,ns,758770
benchmark,std neg i128,30,,,23989600.0,ns,791760
benchmark,std neg i128,30,,,24715000.0,ns,824750
benchmark,std neg i128,30,,,25690500.0,ns,857740
benchmark,std neg i128,30,,,26604600.0,ns,890730
benchmark,std neg i128,30,,,27664600.0,ns,923720
benchmark,std neg i128,30,,,28622600.0,ns,956710
benchmark,std neg i128,30,,,29612100.0,ns,989700
benchmark,std neg i128,30,,,30599500.0,ns,1022690
benchmark,std neg i128,30,,,31597800.0,ns,1055680
benchmark,std neg i128,30,,,32578300.0,ns,1088670
benchmark,std neg i128,30,,,33593700.0,ns,1121660
benchmark,std neg i128,30,,,34566300.0,ns,1154650
benchmark,std neg i128,30,,,35610700.0,ns,1187640
benchmark,std neg i128,30,,,36549000.0,ns,1220630
benchmark,std neg i128,30,,,37489900.0,ns,1253620
benchmark,std neg i128,30,,,38697900.0,ns,1286610
benchmark,std neg i128,30,,,39451700.0,ns,1319600
benchmark,std neg i128,30,,,40534400.0,ns,1352590
benchmark,std neg i128,30,,,41418100.0,ns,1385580
benchmark,std neg i128,30,,,42479000.0,ns,1418570
benchmark,std neg i128,30,,,43368500.0,ns,1451560
benchmark,std neg i128,30,,,44405900.0,ns,1484550
benchmark,std neg i128,30,,,45408200.0,ns,1517540
benchmark,std neg i128,30,,,46426200.0,ns,1550530
benchmark,std neg i128,30,,,47411200.0,ns,1583520
benchmark,std neg i128,30,,,48388000.0,ns,1616510
benchmark,std neg i128,30,,,49344600.0,ns,1649500
benchmark,std neg i128,30,,,50681800.0,ns,1682490
benchmark,std neg i128,30,,,51314900.0,ns,1715480
benchmark,std neg i128,30,,,52290300.0,ns,1748470
benchmark,std neg i128,30,,,53330400.0,ns,1781460
benchmark,std neg i128,30,,,54263800.0,ns,1814450
benchmark,std neg i128,30,,,55344300.0,ns,1847440
benchmark,std neg i128,30,,,56196100.0,ns,1880430
benchmark,std neg i128,30,,,57280700.0,ns,1913420
benchmark,std neg i128,30,,,58460700.0,ns,1946410
benchmark,std neg i128,30,,,59256300.0,ns,1979400
benchmark,std neg i128,30,,,60162600.0,ns,2012390
benchmark,std neg i128,30,,,61203600.0,ns,2045380
benchmark,std neg i128,30,,,62219700.0,ns,2078370
benchmark,std neg i128,30,,,63252900.0,ns,2111360
benchmark,std neg i128,30,,,64271600.0,ns,2144350
benchmark,std neg i128,30,,,65804600.0,ns,2177340
benchmark,std neg i128,30,,,66133100.0,ns,2210330
benchmark,std neg i128,30,,,68401000.0,ns,2243320
benchmark,std neg i128,30,,,68250900.0,ns,2276310
benchmark,std neg i128,30,,,69081000.0,ns,2309300
benchmark,std neg i128,30,,,70109100.0,ns,2342290
benchmark,std neg i128,30,,,71104000.0,ns,2375280
benchmark,std neg i128,30,,,72076300.0,ns,2408270
benchmark,std neg i128,30,,,73077800.0,ns,2441260
benchmark,std neg i128,30,,,74214000.0,ns,2474250
benchmark,std neg i128,30,,,75043100.0,ns,2507240
benchmark,std neg i128,30,,,76058700.0,ns,2540230
benchmark,std neg i128,30,,,76985400.0,ns,2573220
benchmark,std neg i128,30,,,77983700.0,ns,2606210
benchmark,std neg i128,30,,,79020900.0,ns,2639200
benchmark,std neg i128,30,,,79948900.0,ns,2672190
benchmark,std neg i128,30,,,81158900.0,ns,2705180
benchmark,std neg i128,30,,,81902200.0,ns,2738170
benchmark,std neg i128,30,,,82926400.0,ns,2771160
benchmark,std neg i128,30,,,83919500.0,ns,2804150
benchmark,std neg i128,30,,,84956800.0,ns,2837140
benchmark,std neg i128,30,,,85896900.0,ns,2870130
benchmark,std neg i128,30,,,86891500.0,ns,2903120
benchmark,std neg i128,30,,,87895500.0,ns,2936110
benchmark,std neg i128,30,,,88742900.0,ns,2969100
benchmark,std neg i128,30,,,89786800.0,ns,3002090
benchmark,std neg i128,30,,,90833100.0,ns,3035080
benchmark,std neg i128,30,,,91816500.0,ns,3068070
benchmark,std neg i128,30,,,92975300.0,ns,3101060
benchmark,std neg i128,30,,,93790800.0,ns,3134050
benchmark,std neg i128,30,,,94898000.0,ns,3167040
benchmark,std neg i128,30,,,95884500.0,ns,3200030
benchmark,std neg i128,30,,,96804000.0,ns,3233020
benchmark,std neg i128,30,,,97733100.0,ns,3266010
benchmark,std neg i128,30,,,98801000.0,ns,3299000
