group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std neg i64,15,,,984900.0,ns,102660
benchmark,std neg i64,15,,,1970400.0,ns,205320
benchmark,std neg i64,15,,,2954500.0,ns,307980
benchmark,std neg i64,15,,,4007700.0,ns,410640
benchmark,std neg i64,15,,,4923800.0,ns,513300
benchmark,std neg i64,15,,,5908300.0,ns,615960
benchmark,std neg i64,15,,,6967100.0,ns,718620
benchmark,std neg i64,15,,,7879100.0,ns,821280
benchmark,std neg i64,15,,,8942600.0,ns,923940
benchmark,std neg i64,15,,,9847100.0,ns,1026600
benchmark,std neg i64,15,,,10904800.0,ns,1129260
benchmark,std neg i64,15,,,11881700.0,ns,1231920
benchmark,std neg i64,15,,,12894300.0,ns,1334580
benchmark,std neg i64,15,,,14206700.0,ns,1437240
benchmark,std neg i64,15,,,14860300.0,ns,1539900
benchmark,std neg i64,15,,,15826500.0,ns,1642560
benchmark,std neg i64,15,,,16810800.0,ns,1745220
benchmark,std neg i64,15,,,17788500.0,ns,1847880
benchmark,std neg i64,15,,,18772000.0,ns,1950540
benchmark,std neg i64,15,,,19765900.0,ns,2053200
benchmark,std neg i64,15,,,20813400.0,ns,2155860
benchmark,std neg i64,15,,,21733000.0,ns,2258520
benchmark,std neg i64,15,,,22760800.0,ns,2361180
benchmark,std neg i64,15,,,23697800.0,ns,2463840
benchmark,std neg i64,15,,,24776700.0,ns,2566500
benchmark,std neg i64,15,,,25665100.0,ns,2669160
benchmark,std neg i64,15,,,26721400.0,ns,2771820
benchmark,std neg i64,15,,,27710800.0,ns,2874480
benchmark,std neg i64,15,,,28695900.0,ns,2977140
benchmark,std neg i64,15,,,29605300.0,ns,3079800
benchmark,std neg i64,15,,,30661100.0,ns,3182460
benchmark,std neg i64,15,,,31641900.0,ns,3285120
benchmark,std neg i64,15,,,32708800.0,ns,3387780
benchmark,std neg i64,15,,,33635400.0,ns,3490440
benchmark,std neg i64,15,,,34602800.0,ns,3593100
benchmark,std neg i64,15,,,35592200.0,ns,3695760
benchmark,std neg i64,15,,,36653500.0,ns,3798420
benchmark,std neg i64,15,,,37562800.0,ns,3901080
benchmark,std neg i64,15,,,38535300.0,ns,4003740
benchmark,std neg i64,15,,,39595300.0,ns,4106400
benchmark,std neg i64,15,,,40600000.0,ns,4209060
benchmark,std neg i64,15,,,41486300.0,ns,4311720
benchmark,std neg i64,15,,,42582000.0,ns,4414380
benchmark,std neg i64,15,,,43504800.0,ns,4517040
benchmark,std neg i64,15,,,44486600.0,ns,4619700
benchmark,std neg i64,15,,,45414700.0,ns,4722360
benchmark,std neg i64,15,,,46701100.0,ns,4825020
benchmark,std neg i64,15,,,47484300.0,ns,4927680
benchmark,std neg i64,15,,,48545500.0,ns,5030340
benchmark,std neg i64,15,,,49456400.0,ns,5133000
benchmark,std neg i64,15,,,50417400.0,ns,5235660
benchmark,std neg i64,15,,,51445500.0,ns,5338320
benchmark,std neg i64,15,,,52468200.0,ns,5440980
benchmark,std neg i64,15,,,53403500.0,ns,5543640
benchmark,std neg i64,15,,,54464900.0,ns,5646300
benchmark,std neg i64,15,,,55323300.0,ns,5748960
benchmark,std neg i64,15,,,56394000.0,ns,5851620
