group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std u64,12,,,984000.0,ns,152337
benchmark,std u64,12,,,1968000.0,ns,304674
benchmark,std u64,12,,,2951900.0,ns,457011
benchmark,std u64,12,,,3935900.0,ns,609348
benchmark,std u64,12,,,4919800.0,ns,761685
benchmark,std u64,12,,,5970800.0,ns,914022
benchmark,std u64,12,,,6887800.0,ns,1066359
benchmark,std u64,12,,,7940200.0,ns,1218696
benchmark,std u64,12,,,8855700.0,ns,1371033
benchmark,std u64,12,,,9913200.0,ns,1523370
benchmark,std u64,12,,,10901400.0,ns,1675707
benchmark,std u64,12,,,11807500.0,ns,1828044
benchmark,std u64,12,,,12868100.0,ns,1980381
benchmark,std u64,12,,,13849100.0,ns,2132718
benchmark,std u64,12,,,14834300.0,ns,2285055
benchmark,std u64,12,,,15813000.0,ns,2437392
benchmark,std u64,12,,,16807600.0,ns,2589729
benchmark,std u64,12,,,17782400.0,ns,2742066
benchmark,std u64,12,,,18857600.0,ns,2894403
benchmark,std u64,12,,,19746900.0,ns,3046740
benchmark,std u64,12,,,20725200.0,ns,3199077
benchmark,std u64,12,,,21804900.0,ns,3351414
benchmark,std u64,12,,,22703500.0,ns,3503751
benchmark,std u64,12,,,23784800.0,ns,3656088
benchmark,std u64,12,,,24668100.0,ns,3808425
benchmark,std u64,12,,,25736400.0,ns,3960762
benchmark,std u64,12,,,26641100.0,ns,4113099
benchmark,std u64,12,,,27703300.0,ns,4265436
benchmark,std u64,12,,,28693900.0,ns,4417773
benchmark,std u64,12,,,29710700.0,ns,4570110
benchmark,std u64,12,,,30635300.0,ns,4722447
benchmark,std u64,12,,,31616000.0,ns,4874784
benchmark,std u64,12,,,32614500.0,ns,5027121
benchmark,std u64,12,,,33617400.0,ns,5179458
benchmark,std u64,12,,,34563500.0,ns,5331795
benchmark,std u64,12,,,35656600.0,ns,5484132
benchmark,std u64,12,,,36553900.0,ns,5636469
benchmark,std u64,12,,,37531600.0,ns,5788806
benchmark,std u64,12,,,38842700.0,ns,5941143
benchmark,std u64,12,,,39498500.0,ns,6093480
benchmark,std u64,12,,,40574300.0,ns,6245817
benchmark,std u64,12,,,41526900.0,ns,6398154
benchmark,std u64,12,,,42455300.0,ns,6550491
benchmark,std u64,12,,,43522800.0,ns,6702828
benchmark,std u64,12,,,44477900.0,ns,6855165
benchmark,std u64,12,,,45468900.0,ns,7007502
benchmark,std u64,12,,,46459600.0,ns,7159839
benchmark,std u64,12,,,47445900.0,ns,7312176
benchmark,std u64,12,,,48446100.0,ns,7464513
benchmark,std u64,12,,,49438100.0,ns,7616850
benchmark,std u64,12,,,50400600.0,ns,7769187
benchmark,std u64,12,,,51459000.0,ns,7921524
benchmark,std u64,12,,,52361000.0,ns,8073861
benchmark,std u64,12,,,53430900.0,ns,8226198
benchmark,std u64,12,,,54375000.0,ns,8378535
benchmark,std u64,12,,,55334700.0,ns,8530872
benchmark,std u64,12,,,56274900.0,ns,8683209
benchmark,std u64,12,,,57324200.0,ns,8835546
benchmark,std u64,12,,,58361600.0,ns,8987883
benchmark,std u64,12,,,59476900.0,ns,9140220
benchmark,std u64,12,,,60306600.0,ns,9292557
benchmark,std u64,12,,,61299100.0,ns,9444894
benchmark,std u64,12,,,62281700.0,ns,9597231
benchmark,std u64,12,,,63294100.0,ns,9749568
benchmark,std u64,12,,,64253000.0,ns,9901905
benchmark,std u64,12,,,65225000.0,ns,10054242
benchmark,std u64,12,,,66279300.0,ns,10206579
benchmark,std u64,12,,,67187600.0,ns,10358916
benchmark,std u64,12,,,68193500.0,ns,10511253
benchmark,std u64,12,,,69293600.0,ns,10663590
benchmark,std u64,12,,,70123200.0,ns,10815927
benchmark,std u64,12,,,71144900.0,ns,10968264
benchmark,std u64,12,,,72103500.0,ns,11120601
benchmark,std u64,12,,,73174500.0,ns,11272938
benchmark,std u64,12,,,74457800.0,ns,11425275
benchmark,std u64,12,,,75191500.0,ns,11577612
benchmark,std u64,12,,,76168300.0,ns,11729949
benchmark,std u64,12,,,77056500.0,ns,11882286
benchmark,std u64,12,,,78159600.0,ns,12034623
benchmark,std u64,12,,,79000700.0,ns,12186960
benchmark,std u64,12,,,80089700.0,ns,12339297
benchmark,std u64,12,,,81105900.0,ns,12491634
benchmark,std u64,12,,,81999800.0,ns,12643971
benchmark,std u64,12,,,83012000.0,ns,12796308
benchmark,std u64,12,,,84088200.0,ns,12948645
benchmark,std u64,12,,,84964700.0,ns,13100982
benchmark,std u64,12,,,85979900.0,ns,13253319
benchmark,std u64,12,,,87454600.0,ns,13405656
benchmark,std u64,12,,,87961100.0,ns,13557993
benchmark,std u64,12,,,88883900.0,ns,13710330
benchmark,std u64,12,,,89930500.0,ns,13862667
benchmark,std u64,12,,,90893700.0,ns,14015004
benchmark,std u64,12,,,91950600.0,ns,14167341
benchmark,std u64,12,,,92923600.0,ns,14319678
benchmark,std u64,12,,,93940300.0,ns,14472015
benchmark,std u64,12,,,94992100.0,ns,14624352
benchmark,std u64,12,,,95895500.0,ns,14776689
benchmark,std u64,12,,,97218900.0,ns,14929026
benchmark,std u64,12,,,97935300.0,ns,15081363
benchmark,std u64,12,,,98810300.0,ns,15233700
