group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,std u64,7,,,990800.0,ns,181485
benchmark,std u64,7,,,2038200.0,ns,362970
benchmark,std u64,7,,,3557100.0,ns,544455
benchmark,std u64,7,,,4001800.0,ns,725940
benchmark,std u64,7,,,4960400.0,ns,907425
benchmark,std u64,7,,,5900800.0,ns,1088910
benchmark,std u64,7,,,6977500.0,ns,1270395
benchmark,std u64,7,,,7912800.0,ns,1451880
benchmark,std u64,7,,,8919600.0,ns,1633365
benchmark,std u64,7,,,10119800.0,ns,1814850
benchmark,std u64,7,,,10820000.0,ns,1996335
benchmark,std u64,7,,,11797100.0,ns,2177820
benchmark,std u64,7,,,12839100.0,ns,2359305
benchmark,std u64,7,,,13836100.0,ns,2540790
benchmark,std u64,7,,,14811700.0,ns,2722275
benchmark,std u64,7,,,15802800.0,ns,2903760
benchmark,std u64,7,,,16779700.0,ns,3085245
benchmark,std u64,7,,,17764100.0,ns,3266730
benchmark,std u64,7,,,18757300.0,ns,3448215
benchmark,std u64,7,,,19862700.0,ns,3629700
benchmark,std u64,7,,,20738700.0,ns,3811185
benchmark,std u64,7,,,21686900.0,ns,3992670
benchmark,std u64,7,,,22748200.0,ns,4174155
benchmark,std u64,7,,,23665800.0,ns,4355640
benchmark,std u64,7,,,24718600.0,ns,4537125
benchmark,std u64,7,,,25881000.0,ns,4718610
benchmark,std u64,7,,,26612000.0,ns,4900095
benchmark,std u64,7,,,27987700.0,ns,5081580
benchmark,std u64,7,,,28653800.0,ns,5263065
benchmark,std u64,7,,,29653400.0,ns,5444550
benchmark,std u64,7,,,30637500.0,ns,5626035
benchmark,std u64,7,,,31611100.0,ns,5807520
benchmark,std u64,7,,,32794500.0,ns,5989005
benchmark,std u64,7,,,33594400.0,ns,6170490
benchmark,std u64,7,,,34567300.0,ns,6351975
benchmark,std u64,7,,,41759900.0,ns,6533460
benchmark,std u64,7,,,38330200.0,ns,6714945
benchmark,std u64,7,,,39421800.0,ns,6896430
benchmark,std u64,7,,,40683900.0,ns,7077915
benchmark,std u64,7,,,42029600.0,ns,7259400
benchmark,std u64,7,,,40610700.0,ns,7440885
benchmark,std u64,7,,,42047800.0,ns,7622370
benchmark,std u64,7,,,43374800.0,ns,7803855
benchmark,std u64,7,,,44108300.0,ns,7985340
benchmark,std u64,7,,,44480200.0,ns,8166825
benchmark,std u64,7,,,45644800.0,ns,8348310
benchmark,std u64,7,,,46483300.0,ns,8529795
benchmark,std u64,7,,,47523900.0,ns,8711280
benchmark,std u64,7,,,48424300.0,ns,8892765
benchmark,std u64,7,,,49405600.0,ns,9074250
benchmark,std u64,7,,,50347800.0,ns,9255735
benchmark,std u64,7,,,51394400.0,ns,9437220
benchmark,std u64,7,,,52652500.0,ns,9618705
benchmark,std u64,7,,,53242700.0,ns,9800190
benchmark,std u64,7,,,54345900.0,ns,9981675
benchmark,std u64,7,,,55289200.0,ns,10163160
benchmark,std u64,7,,,56502900.0,ns,10344645
benchmark,std u64,7,,,57818300.0,ns,10526130
benchmark,std u64,7,,,58345700.0,ns,10707615
benchmark,std u64,7,,,59277200.0,ns,10889100
benchmark,std u64,7,,,60233500.0,ns,11070585
benchmark,std u64,7,,,61252900.0,ns,11252070
benchmark,std u64,7,,,62126400.0,ns,11433555
benchmark,std u64,7,,,63259800.0,ns,11615040
benchmark,std u64,7,,,64150000.0,ns,11796525
benchmark,std u64,7,,,65188200.0,ns,11978010
benchmark,std u64,7,,,66133000.0,ns,12159495
benchmark,std u64,7,,,67108700.0,ns,12340980
benchmark,std u64,7,,,68237500.0,ns,12522465
benchmark,std u64,7,,,69099100.0,ns,12703950
benchmark,std u64,7,,,70056700.0,ns,12885435
benchmark,std u64,7,,,71066900.0,ns,13066920
benchmark,std u64,7,,,72175900.0,ns,13248405
benchmark,std u64,7,,,73518800.0,ns,13429890
benchmark,std u64,7,,,74075200.0,ns,13611375
benchmark,std u64,7,,,75075200.0,ns,13792860
benchmark,std u64,7,,,76018400.0,ns,13974345
benchmark,std u64,7,,,76995400.0,ns,14155830
benchmark,std u64,7,,,78226200.0,ns,14337315
benchmark,std u64,7,,,81705000.0,ns,14518800
benchmark,std u64,7,,,80361500.0,ns,14700285
benchmark,std u64,7,,,82538600.0,ns,14881770
benchmark,std u64,7,,,82015300.0,ns,15063255
benchmark,std u64,7,,,82928900.0,ns,15244740
benchmark,std u64,7,,,83860000.0,ns,15426225
benchmark,std u64,7,,,85127800.0,ns,15607710
benchmark,std u64,7,,,85980800.0,ns,15789195
benchmark,std u64,7,,,86802300.0,ns,15970680
benchmark,std u64,7,,,87816000.0,ns,16152165
benchmark,std u64,7,,,88707500.0,ns,16333650
benchmark,std u64,7,,,89830300.0,ns,16515135
benchmark,std u64,7,,,90757800.0,ns,16696620
benchmark,std u64,7,,,91787300.0,ns,16878105
benchmark,std u64,7,,,92864000.0,ns,17059590
benchmark,std u64,7,,,93747600.0,ns,17241075
benchmark,std u64,7,,,95049100.0,ns,17422560
benchmark,std u64,7,,,95756400.0,ns,17604045
benchmark,std u64,7,,,97135700.0,ns,17785530
benchmark,std u64,7,,,97793200.0,ns,17967015
benchmark,std u64,7,,,98690600.0,ns,18148500
