group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,u64,1,,,986700.0,ns,590530
benchmark,u64,1,,,1969400.0,ns,1181060
benchmark,u64,1,,,2952600.0,ns,1771590
benchmark,u64,1,,,3936900.0,ns,2362120
benchmark,u64,1,,,4921100.0,ns,2952650
benchmark,u64,1,,,5995700.0,ns,3543180
benchmark,u64,1,,,6889500.0,ns,4133710
benchmark,u64,1,,,7948400.0,ns,4724240
benchmark,u64,1,,,8859100.0,ns,5314770
benchmark,u64,1,,,9926700.0,ns,5905300
benchmark,u64,1,,,10912200.0,ns,6495830
benchmark,u64,1,,,11810800.0,ns,7086360
benchmark,u64,1,,,12873200.0,ns,7676890
benchmark,u64,1,,,13853100.0,ns,8267420
benchmark,u64,1,,,14842800.0,ns,8857950
benchmark,u64,1,,,15836900.0,ns,9448480
benchmark,u64,1,,,16807200.0,ns,10039010
benchmark,u64,1,,,17799700.0,ns,10629540
benchmark,u64,1,,,18834000.0,ns,11220070
benchmark,u64,1,,,19828600.0,ns,11810600
benchmark,u64,1,,,20733600.0,ns,12401130
benchmark,u64,1,,,21724000.0,ns,12991660
benchmark,u64,1,,,22724700.0,ns,13582190
benchmark,u64,1,,,24240100.0,ns,14172720
benchmark,u64,1,,,24684800.0,ns,14763250
benchmark,u64,1,,,25769800.0,ns,15353780
benchmark,u64,1,,,26732300.0,ns,15944310
benchmark,u64,1,,,27711500.0,ns,16534840
benchmark,u64,1,,,28640400.0,ns,17125370
benchmark,u64,1,,,29669900.0,ns,17715900
benchmark,u64,1,,,34134800.0,ns,18306430
benchmark,u64,1,,,31640600.0,ns,18896960
benchmark,u64,1,,,32598600.0,ns,19487490
benchmark,u64,1,,,34487200.0,ns,20078020
benchmark,u64,1,,,36002800.0,ns,20668550
benchmark,u64,1,,,37162600.0,ns,21259080
benchmark,u64,1,,,36825600.0,ns,21849610
benchmark,u64,1,,,37546400.0,ns,22440140
benchmark,u64,1,,,38640100.0,ns,23030670
benchmark,u64,1,,,39520900.0,ns,23621200
benchmark,u64,1,,,40722500.0,ns,24211730
benchmark,u64,1,,,41565400.0,ns,24802260
benchmark,u64,1,,,42483800.0,ns,25392790
benchmark,u64,1,,,43530900.0,ns,25983320
benchmark,u64,1,,,44542300.0,ns,26573850
benchmark,u64,1,,,45503500.0,ns,27164380
benchmark,u64,1,,,46469500.0,ns,27754910
benchmark,u64,1,,,47467000.0,ns,28345440
benchmark,u64,1,,,48397700.0,ns,28935970
benchmark,u64,1,,,49410300.0,ns,29526500
benchmark,u64,1,,,50761700.0,ns,30117030
benchmark,u64,1,,,51580500.0,ns,30707560
benchmark,u64,1,,,52399400.0,ns,31298090
benchmark,u64,1,,,53405600.0,ns,31888620
benchmark,u64,1,,,54374700.0,ns,32479150
benchmark,u64,1,,,55552300.0,ns,33069680
benchmark,u64,1,,,56398300.0,ns,33660210
benchmark,u64,1,,,57300900.0,ns,34250740
benchmark,u64,1,,,58389400.0,ns,34841270
benchmark,u64,1,,,59372500.0,ns,35431800
benchmark,u64,1,,,60337100.0,ns,36022330
benchmark,u64,1,,,61300100.0,ns,36612860
benchmark,u64,1,,,62336500.0,ns,37203390
benchmark,u64,1,,,63280900.0,ns,37793920
benchmark,u64,1,,,64294100.0,ns,38384450
benchmark,u64,1,,,65269000.0,ns,38974980
benchmark,u64,1,,,66244000.0,ns,39565510
benchmark,u64,1,,,67628200.0,ns,40156040
benchmark,u64,1,,,68285700.0,ns,40746570
benchmark,u64,1,,,69231500.0,ns,41337100
benchmark,u64,1,,,70280400.0,ns,41927630
benchmark,u64,1,,,71202700.0,ns,42518160
benchmark,u64,1,,,72243400.0,ns,43108690
benchmark,u64,1,,,73235400.0,ns,43699220
benchmark,u64,1,,,74149900.0,ns,44289750
benchmark,u64,1,,,75193500.0,ns,44880280
benchmark,u64,1,,,76191500.0,ns,45470810
benchmark,u64,1,,,77251500.0,ns,46061340
benchmark,u64,1,,,78105700.0,ns,46651870
benchmark,u64,1,,,79080400.0,ns,47242400
benchmark,u64,1,,,80046700.0,ns,47832930
benchmark,u64,1,,,81407200.0,ns,48423460
benchmark,u64,1,,,82094300.0,ns,49013990
benchmark,u64,1,,,82974400.0,ns,49604520
benchmark,u64,1,,,83979500.0,ns,50195050
benchmark,u64,1,,,85164600.0,ns,50785580
benchmark,u64,1,,,86031600.0,ns,51376110
benchmark,u64,1,,,87081300.0,ns,51966640
benchmark,u64,1,,,88064300.0,ns,52557170
benchmark,u64,1,,,89062000.0,ns,53147700
benchmark,u64,1,,,89932300.0,ns,53738230
benchmark,u64,1,,,90933200.0,ns,54328760
benchmark,u64,1,,,92286200.0,ns,54919290
benchmark,u64,1,,,112548100.0,ns,55509820
benchmark,u64,1,,,93992700.0,ns,56100350
benchmark,u64,1,,,94972600.0,ns,56690880
benchmark,u64,1,,,95971700.0,ns,57281410
benchmark,u64,1,,,96898900.0,ns,57871940
benchmark,u64,1,,,97987100.0,ns,58462470
benchmark,u64,1,,,98889500.0,ns,59053000
