group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
benchmark,u64,12,,,1250300.0,ns,547560
benchmark,u64,12,,,1934800.0,ns,1095120
benchmark,u64,12,,,2881800.0,ns,1642680
benchmark,u64,12,,,3804400.0,ns,2190240
benchmark,u64,12,,,5428000.0,ns,2737800
benchmark,u64,12,,,6242200.0,ns,3285360
benchmark,u64,12,,,7378900.0,ns,3832920
benchmark,u64,12,,,7920700.0,ns,4380480
benchmark,u64,12,,,8941600.0,ns,4928040
benchmark,u64,12,,,9876400.0,ns,5475600
benchmark,u64,12,,,10902900.0,ns,6023160
benchmark,u64,12,,,11725900.0,ns,6570720
benchmark,u64,12,,,12621400.0,ns,7118280
benchmark,u64,12,,,13854000.0,ns,7665840
benchmark,u64,12,,,15044000.0,ns,8213400
benchmark,u64,12,,,15553500.0,ns,8760960
benchmark,u64,12,,,16216700.0,ns,9308520
benchmark,u64,12,,,17522300.0,ns,9856080
benchmark,u64,12,,,18725400.0,ns,10403640
benchmark,u64,12,,,19223500.0,ns,10951200
benchmark,u64,12,,,20112600.0,ns,11498760
benchmark,u64,12,,,20987500.0,ns,12046320
benchmark,u64,12,,,22450200.0,ns,12593880
benchmark,u64,12,,,22876900.0,ns,13141440
benchmark,u64,12,,,24090100.0,ns,13689000
benchmark,u64,12,,,26150800.0,ns,14236560
benchmark,u64,12,,,25951000.0,ns,14784120
benchmark,u64,12,,,27467600.0,ns,15331680
benchmark,u64,12,,,28697100.0,ns,15879240
benchmark,u64,12,,,29801200.0,ns,16426800
benchmark,u64,12,,,30322800.0,ns,16974360
benchmark,u64,12,,,31803400.0,ns,17521920
benchmark,u64,12,,,32578200.0,ns,18069480
benchmark,u64,12,,,33121400.0,ns,18617040
benchmark,u64,12,,,34196300.0,ns,19164600
benchmark,u64,12,,,35817400.0,ns,19712160
benchmark,u64,12,,,36314300.0,ns,20259720
benchmark,u64,12,,,36601800.0,ns,20807280
benchmark,u64,12,,,37149300.0,ns,21354840
benchmark,u64,12,,,38308900.0,ns,21902400
benchmark,u64,12,,,39366500.0,ns,22449960
benchmark,u64,12,,,41815000.0,ns,22997520
benchmark,u64,12,,,41309100.0,ns,23545080
benchmark,u64,12,,,42081000.0,ns,24092640
benchmark,u64,12,,,43664400.0,ns,24640200
benchmark,u64,12,,,44717500.0,ns,25187760
benchmark,u64,12,,,46023200.0,ns,25735320
benchmark,u64,12,,,46003600.0,ns,26282880
benchmark,u64,12,,,49012200.0,ns,26830440
benchmark,u64,12,,,53798800.0,ns,27378000
benchmark,u64,12,,,50590100.0,ns,27925560
benchmark,u64,12,,,51126100.0,ns,28473120
benchmark,u64,12,,,52074200.0,ns,29020680
benchmark,u64,12,,,52124700.0,ns,29568240
benchmark,u64,12,,,52891700.0,ns,30115800
benchmark,u64,12,,,54723900.0,ns,30663360
benchmark,u64,12,,,55458800.0,ns,31210920
benchmark,u64,12,,,57148800.0,ns,31758480
benchmark,u64,12,,,58974400.0,ns,32306040
benchmark,u64,12,,,57603500.0,ns,32853600
benchmark,u64,12,,,58313800.0,ns,33401160
benchmark,u64,12,,,61824600.0,ns,33948720
benchmark,u64,12,,,61632900.0,ns,34496280
benchmark,u64,12,,,64181000.0,ns,35043840
benchmark,u64,12,,,63122000.0,ns,35591400
benchmark,u64,12,,,64852700.0,ns,36138960
benchmark,u64,12,,,64601300.0,ns,36686520
benchmark,u64,12,,,65771200.0,ns,37234080
benchmark,u64,12,,,67812300.0,ns,37781640
benchmark,u64,12,,,67036600.0,ns,38329200
benchmark,u64,12,,,69109400.0,ns,38876760
benchmark,u64,12,,,74168500.0,ns,39424320
benchmark,u64,12,,,74810400.0,ns,39971880
benchmark,u64,12,,,75699200.0,ns,40519440
benchmark,u64,12,,,75623700.0,ns,41067000
benchmark,u64,12,,,72946500.0,ns,41614560
benchmark,u64,12,,,73584000.0,ns,42162120
benchmark,u64,12,,,79597500.0,ns,42709680
benchmark,u64,12,,,78675800.0,ns,43257240
benchmark,u64,12,,,78845000.0,ns,43804800
benchmark,u64,12,,,79399300.0,ns,44352360
benchmark,u64,12,,,80601500.0,ns,44899920
benchmark,u64,12,,,81577600.0,ns,45447480
benchmark,u64,12,,,81985200.0,ns,45995040
benchmark,u64,12,,,84657900.0,ns,46542600
benchmark,u64,12,,,87389500.0,ns,47090160
benchmark,u64,12,,,88745300.0,ns,47637720
benchmark,u64,12,,,87745200.0,ns,48185280
benchmark,u64,12,,,88751800.0,ns,48732840
benchmark,u64,12,,,91106000.0,ns,49280400
benchmark,u64,12,,,99511700.0,ns,49827960
benchmark,u64,12,,,91579000.0,ns,50375520
benchmark,u64,12,,,91153500.0,ns,50923080
benchmark,u64,12,,,90829100.0,ns,51470640
benchmark,u64,12,,,93761600.0,ns,52018200
benchmark,u64,12,,,92249500.0,ns,52565760
benchmark,u64,12,,,94692900.0,ns,53113320
benchmark,u64,12,,,95578000.0,ns,53660880
benchmark,u64,12,,,95557900.0,ns,54208440
benchmark,u64,12,,,96171300.0,ns,54756000
